sample_accession,specimen_types,tissue_type
HRS024393,Patient Solid Tissue,Tumor
HRS024394,Patient Solid Tissue,Tumor
HRS024395,Patient Solid Tissue,Tumor
HRS024396,Patient Solid Tissue,Tumor
HRS024397,Patient Solid Tissue,Tumor
HRS024398,Patient Solid Tissue,Tumor
HRS024399,Patient Solid Tissue,Tumor
HRS024400,Patient Solid Tissue,Tumor
HRS024401,Patient Solid Tissue,Tumor
HRS024402,Patient Solid Tissue,Tumor
HRS024403,Patient Solid Tissue,Tumor
HRS024404,Patient Solid Tissue,Tumor
HRS024405,Patient Solid Tissue,Tumor
HRS024406,Patient Solid Tissue,Tumor
HRS024407,Patient Solid Tissue,Tumor
HRS024408,Patient Solid Tissue,Tumor
HRS024409,Patient Solid Tissue,Tumor
HRS024410,Patient Solid Tissue,Tumor
HRS024411,Patient Solid Tissue,Tumor
HRS024412,Patient Solid Tissue,Tumor
HRS024413,Patient Solid Tissue,Tumor
HRS024414,Patient Solid Tissue,Tumor
HRS024415,Patient Solid Tissue,Tumor
HRS024416,Patient Solid Tissue,Tumor
HRS024417,Patient Solid Tissue,Tumor
HRS024418,Patient Solid Tissue,Tumor
HRS024419,Patient Solid Tissue,Tumor
HRS024420,Patient Solid Tissue,Tumor
HRS024421,Patient Solid Tissue,Tumor
HRS024422,Patient Solid Tissue,Tumor
HRS024423,Patient Solid Tissue,Tumor
HRS024424,Patient Solid Tissue,Tumor
HRS024425,Patient Solid Tissue,Tumor
HRS024426,Patient Solid Tissue,Tumor
HRS024427,Patient Solid Tissue,Tumor
HRS024428,Patient Solid Tissue,Tumor
HRS024429,Patient Solid Tissue,Tumor
HRS024430,Patient Solid Tissue,Tumor
HRS024431,Patient Solid Tissue,Tumor
HRS024432,Patient Solid Tissue,Tumor
HRS024433,Patient Solid Tissue,Tumor
HRS024434,Patient Solid Tissue,Tumor
HRS024435,Patient Solid Tissue,Tumor
HRS024436,Patient Solid Tissue,Tumor
HRS024437,Patient Solid Tissue,Tumor
HRS024438,Patient Solid Tissue,Tumor
HRS024439,Patient Solid Tissue,Tumor
HRS024440,Patient Solid Tissue,Tumor
HRS024441,Patient Solid Tissue,Tumor
HRS024442,Patient Solid Tissue,Tumor
HRS024443,Patient Solid Tissue,Tumor
HRS024444,Patient Solid Tissue,Tumor
HRS024445,Patient Solid Tissue,Tumor
HRS024446,Patient Solid Tissue,Tumor
HRS024447,Patient Solid Tissue,Tumor
HRS024448,Patient Solid Tissue,Tumor
HRS024449,Patient Solid Tissue,Tumor
HRS024450,Patient Solid Tissue,Tumor
HRS024451,Patient Solid Tissue,Tumor
HRS024452,Patient Solid Tissue,Tumor
HRS024453,Patient Solid Tissue,Tumor
HRS024454,Patient Solid Tissue,Tumor
HRS024455,Patient Solid Tissue,Tumor
HRS024456,Patient Solid Tissue,Tumor
HRS024457,Patient Solid Tissue,Tumor
HRS024458,Patient Solid Tissue,Tumor
HRS024459,Patient Solid Tissue,Tumor
