sample_accession,specimen_types,tissue_type
HRS280929,Peritumoral,Normal
HRS280930,Patient Solid Tissue,Tumor
HRS280931,Peritumoral,Normal
HRS280932,Patient Solid Tissue,Tumor
HRS280933,Peritumoral,Normal
HRS280934,Patient Solid Tissue,Tumor
HRS280935,Peritumoral,Normal
HRS280936,Patient Solid Tissue,Tumor
HRS280937,Peritumoral,Normal
HRS280938,Patient Solid Tissue,Tumor
HRS281123,Peritumoral,Normal
HRS281124,Patient Solid Tissue,Tumor
HRS281125,Peritumoral,Normal
HRS281126,Patient Solid Tissue,Tumor
HRS281127,Peritumoral,Normal
HRS281128,Patient Solid Tissue,Tumor
HRS281129,Peritumoral,Normal
HRS281130,Patient Solid Tissue,Tumor
HRS281131,Peritumoral,Normal
HRS281132,Patient Solid Tissue,Tumor
HRS281133,Peritumoral,Normal
HRS281134,Patient Solid Tissue,Tumor
HRS281135,Peritumoral,Normal
HRS281136,Patient Solid Tissue,Tumor
HRS281137,Peritumoral,Normal
HRS281138,Patient Solid Tissue,Tumor
HRS281139,Peritumoral,Normal
HRS281140,Patient Solid Tissue,Tumor
HRS281141,Peritumoral,Normal
HRS281142,Patient Solid Tissue,Tumor
HRS281143,Peritumoral,Normal
HRS281144,Patient Solid Tissue,Tumor
HRS281145,Peritumoral,Normal
HRS281146,Patient Solid Tissue,Tumor
HRS281147,Peritumoral,Normal
HRS281148,Patient Solid Tissue,Tumor
HRS281149,Peritumoral,Normal
HRS281150,Patient Solid Tissue,Tumor
HRS281151,Peritumoral,Normal
HRS281152,Patient Solid Tissue,Tumor
HRS281153,Peritumoral,Normal
HRS281154,Patient Solid Tissue,Tumor
HRS281155,Peritumoral,Normal
HRS281156,Patient Solid Tissue,Tumor
HRS281157,Peritumoral,Normal
HRS281158,Patient Solid Tissue,Tumor
HRS281159,Peritumoral,Normal
HRS281160,Patient Solid Tissue,Tumor
HRS281161,Peritumoral,Normal
HRS281162,Patient Solid Tissue,Tumor
HRS281163,Peritumoral,Normal
HRS281164,Patient Solid Tissue,Tumor
HRS281165,Peritumoral,Normal
HRS281166,Patient Solid Tissue,Tumor
HRS281167,Peritumoral,Normal
HRS281168,Patient Solid Tissue,Tumor
HRS281169,Peritumoral,Normal
HRS281170,Patient Solid Tissue,Tumor
HRS281171,Peritumoral,Normal
HRS281172,Patient Solid Tissue,Tumor
HRS281173,Peritumoral,Normal
HRS281174,Patient Solid Tissue,Tumor
HRS281175,Peritumoral,Normal
HRS281176,Patient Solid Tissue,Tumor
HRS281177,Peritumoral,Normal
HRS281178,Patient Solid Tissue,Tumor
HRS281179,Peritumoral,Normal
HRS281180,Patient Solid Tissue,Tumor
HRS281181,Peritumoral,Normal
HRS281182,Patient Solid Tissue,Tumor
HRS281183,Peritumoral,Normal
HRS281184,Patient Solid Tissue,Tumor
HRS281185,Peritumoral,Normal
HRS281186,Patient Solid Tissue,Tumor
HRS281187,Peritumoral,Normal
HRS281188,Patient Solid Tissue,Tumor
HRS281189,Peritumoral,Normal
HRS281190,Patient Solid Tissue,Tumor
HRS281191,Peritumoral,Normal
HRS281192,Patient Solid Tissue,Tumor
HRS281193,Peritumoral,Normal
HRS281194,Patient Solid Tissue,Tumor
HRS281195,Peritumoral,Normal
HRS281196,Patient Solid Tissue,Tumor
HRS281197,Peritumoral,Normal
HRS281198,Patient Solid Tissue,Tumor
HRS281199,Peritumoral,Normal
HRS281200,Patient Solid Tissue,Tumor
HRS281201,Peritumoral,Normal
HRS281202,Patient Solid Tissue,Tumor
HRS281203,Peritumoral,Normal
HRS281204,Patient Solid Tissue,Tumor
HRS281205,Peritumoral,Normal
HRS281206,Patient Solid Tissue,Tumor
HRS281207,Peritumoral,Normal
HRS281208,Patient Solid Tissue,Tumor
HRS281209,Peritumoral,Normal
HRS281210,Patient Solid Tissue,Tumor
HRS281211,Peritumoral,Normal
HRS281212,Patient Solid Tissue,Tumor
HRS281213,Peritumoral,Normal
HRS281214,Patient Solid Tissue,Tumor
HRS281215,Peritumoral,Normal
HRS281216,Patient Solid Tissue,Tumor
HRS281217,Peritumoral,Normal
HRS281218,Patient Solid Tissue,Tumor
HRS281219,Peritumoral,Normal
HRS281220,Patient Solid Tissue,Tumor
HRS281221,Peritumoral,Normal
HRS281222,Patient Solid Tissue,Tumor
HRS281223,Peritumoral,Normal
HRS281224,Patient Solid Tissue,Tumor
HRS281225,Peritumoral,Normal
HRS281226,Patient Solid Tissue,Tumor
HRS281227,Peritumoral,Normal
HRS281228,Patient Solid Tissue,Tumor
HRS281229,Peritumoral,Normal
HRS281230,Patient Solid Tissue,Tumor
HRS281231,Peritumoral,Normal
HRS281232,Patient Solid Tissue,Tumor
HRS281233,Peritumoral,Normal
HRS281234,Patient Solid Tissue,Tumor
HRS281235,Peritumoral,Normal
HRS281236,Patient Solid Tissue,Tumor
HRS281237,Peritumoral,Normal
HRS281238,Patient Solid Tissue,Tumor
HRS281239,Peritumoral,Normal
HRS281240,Patient Solid Tissue,Tumor
HRS281241,Peritumoral,Normal
HRS281242,Patient Solid Tissue,Tumor
HRS281243,Peritumoral,Normal
HRS281244,Patient Solid Tissue,Tumor
HRS281245,Peritumoral,Normal
HRS281246,Patient Solid Tissue,Tumor
HRS281247,Peritumoral,Normal
HRS281248,Patient Solid Tissue,Tumor
HRS281249,Peritumoral,Normal
HRS281250,Patient Solid Tissue,Tumor
HRS281251,Peritumoral,Normal
HRS281252,Patient Solid Tissue,Tumor
HRS281253,Peritumoral,Normal
HRS281254,Patient Solid Tissue,Tumor
HRS281255,Peritumoral,Normal
HRS281256,Patient Solid Tissue,Tumor
HRS281257,Peritumoral,Normal
HRS281258,Patient Solid Tissue,Tumor
HRS281259,Peritumoral,Normal
HRS281260,Patient Solid Tissue,Tumor
HRS281261,Peritumoral,Normal
HRS281262,Patient Solid Tissue,Tumor
HRS281263,Peritumoral,Normal
HRS281264,Patient Solid Tissue,Tumor
HRS281265,Peritumoral,Normal
HRS281266,Patient Solid Tissue,Tumor
HRS281267,Peritumoral,Normal
HRS281268,Patient Solid Tissue,Tumor
HRS281269,Peritumoral,Normal
HRS281270,Patient Solid Tissue,Tumor
HRS281271,Peritumoral,Normal
HRS281272,Patient Solid Tissue,Tumor
HRS281273,Peritumoral,Normal
HRS281274,Patient Solid Tissue,Tumor
HRS281275,Peritumoral,Normal
HRS281276,Patient Solid Tissue,Tumor
HRS281277,Peritumoral,Normal
HRS281278,Patient Solid Tissue,Tumor
HRS281279,Peritumoral,Normal
HRS281280,Patient Solid Tissue,Tumor
HRS281281,Peritumoral,Normal
HRS281282,Patient Solid Tissue,Tumor
HRS281283,Peritumoral,Normal
HRS281284,Patient Solid Tissue,Tumor
HRS281285,Peritumoral,Normal
HRS281286,Patient Solid Tissue,Tumor
HRS281287,Peritumoral,Normal
HRS281288,Patient Solid Tissue,Tumor
HRS281289,Peritumoral,Normal
HRS281290,Patient Solid Tissue,Tumor
HRS281291,Peritumoral,Normal
HRS281292,Patient Solid Tissue,Tumor
HRS281293,Peritumoral,Normal
HRS281294,Patient Solid Tissue,Tumor
HRS281295,Peritumoral,Normal
HRS281296,Patient Solid Tissue,Tumor
HRS281297,Peritumoral,Normal
HRS281298,Patient Solid Tissue,Tumor
HRS321572,Patient Solid Tissue,Tumor
HRS321573,Patient Solid Tissue,Tumor
HRS321574,Patient Solid Tissue,Tumor
HRS321575,Patient Solid Tissue,Tumor
HRS321576,Peritumoral,Normal
HRS321577,Patient Solid Tissue,Tumor
HRS321578,Peritumoral,Normal
HRS321579,Patient Solid Tissue,Tumor
HRS321580,Patient Solid Tissue,Tumor
HRS321581,Patient Solid Tissue,Tumor
HRS321582,Patient Solid Tissue,Tumor
HRS321583,Patient Solid Tissue,Tumor
HRS321584,Patient Solid Tissue,Tumor
HRS321585,Patient Solid Tissue,Tumor
HRS321586,Patient Solid Tissue,Tumor
HRS321587,Patient Solid Tissue,Tumor
HRS321588,Patient Solid Tissue,Tumor
HRS321589,Peritumoral,Normal
HRS321590,Patient Solid Tissue,Tumor
HRS321591,Patient Solid Tissue,Tumor
HRS321592,Patient Solid Tissue,Tumor
HRS321593,Patient Solid Tissue,Tumor
HRS321594,Patient Solid Tissue,Tumor
HRS321595,Patient Solid Tissue,Tumor
HRS321596,Patient Solid Tissue,Tumor
HRS321597,Patient Solid Tissue,Tumor
HRS321598,Patient Solid Tissue,Tumor
HRS321599,Patient Solid Tissue,Tumor
HRS321600,Patient Solid Tissue,Tumor
HRS321601,Patient Solid Tissue,Tumor
HRS321602,Patient Solid Tissue,Tumor
HRS321603,Patient Solid Tissue,Tumor
HRS321604,Patient Solid Tissue,Tumor
HRS321605,Patient Solid Tissue,Tumor
HRS321606,Patient Solid Tissue,Tumor
HRS321607,Patient Solid Tissue,Tumor
HRS321608,Patient Solid Tissue,Tumor
HRS321609,Patient Solid Tissue,Tumor
HRS321610,Patient Solid Tissue,Tumor
HRS321611,Patient Solid Tissue,Tumor
HRS321612,Patient Solid Tissue,Tumor
HRS321613,Patient Solid Tissue,Tumor
HRS321614,Patient Solid Tissue,Tumor
HRS321615,Patient Solid Tissue,Tumor
HRS321616,Patient Solid Tissue,Tumor
HRS321617,Patient Solid Tissue,Tumor
HRS321618,Patient Solid Tissue,Tumor
HRS321619,Patient Solid Tissue,Tumor
HRS321620,Patient Solid Tissue,Tumor
HRS321621,Patient Solid Tissue,Tumor
HRS321622,Patient Solid Tissue,Tumor
HRS321623,Patient Solid Tissue,Tumor
HRS321624,Patient Solid Tissue,Tumor
HRS321625,Patient Solid Tissue,Tumor
HRS321626,Patient Solid Tissue,Tumor
HRS321627,Patient Solid Tissue,Tumor
HRS321628,Patient Solid Tissue,Tumor
HRS321629,Patient Solid Tissue,Tumor
HRS321630,Patient Solid Tissue,Tumor
HRS321631,Patient Solid Tissue,Tumor
HRS321632,Patient Solid Tissue,Tumor
HRS321633,Patient Solid Tissue,Tumor
HRS321634,Patient Solid Tissue,Tumor
HRS321635,Patient Solid Tissue,Tumor
HRS321636,Patient Solid Tissue,Tumor
HRS321637,Patient Solid Tissue,Tumor
HRS321638,Patient Solid Tissue,Tumor
HRS321639,Patient Solid Tissue,Tumor
HRS321640,Patient Solid Tissue,Tumor
HRS321641,Patient Solid Tissue,Tumor
HRS321642,Patient Solid Tissue,Tumor
HRS321643,Patient Solid Tissue,Tumor
HRS321644,Patient Solid Tissue,Tumor
HRS321645,Patient Solid Tissue,Tumor
HRS321646,Patient Solid Tissue,Tumor
HRS321647,Patient Solid Tissue,Tumor
HRS321648,Patient Solid Tissue,Tumor
HRS321649,Patient Solid Tissue,Tumor
HRS321650,Patient Solid Tissue,Tumor
HRS321651,Patient Solid Tissue,Tumor
HRS321652,Patient Solid Tissue,Tumor
HRS321653,Patient Solid Tissue,Tumor
HRS321654,Patient Solid Tissue,Tumor
HRS321655,Patient Solid Tissue,Tumor
HRS321656,Patient Solid Tissue,Tumor
HRS321657,Patient Solid Tissue,Tumor
HRS321658,Patient Solid Tissue,Tumor
HRS321659,Patient Solid Tissue,Tumor
HRS321660,Patient Solid Tissue,Tumor
HRS321661,Patient Solid Tissue,Tumor
HRS321662,Patient Solid Tissue,Tumor
HRS321663,Patient Solid Tissue,Tumor
HRS321664,Patient Solid Tissue,Tumor
HRS321665,Patient Solid Tissue,Tumor
HRS321666,Patient Solid Tissue,Tumor
HRS321667,Patient Solid Tissue,Tumor
HRS321668,Patient Solid Tissue,Tumor
HRS321669,Patient Solid Tissue,Tumor
HRS321670,Patient Solid Tissue,Tumor
HRS321671,Patient Solid Tissue,Tumor
HRS321672,Patient Solid Tissue,Tumor
HRS321673,Patient Solid Tissue,Tumor
HRS321674,Patient Solid Tissue,Tumor
HRS321675,Patient Solid Tissue,Tumor
HRS321676,Patient Solid Tissue,Tumor
HRS321677,Patient Solid Tissue,Tumor
HRS321678,Patient Solid Tissue,Tumor
HRS321679,Patient Solid Tissue,Tumor
HRS321680,Patient Solid Tissue,Tumor
HRS321681,Patient Solid Tissue,Tumor
HRS321682,Patient Solid Tissue,Tumor
HRS321683,Patient Solid Tissue,Tumor
HRS321684,Patient Solid Tissue,Tumor
HRS321685,Patient Solid Tissue,Tumor
HRS321686,Patient Solid Tissue,Tumor
HRS321687,Patient Solid Tissue,Tumor
HRS321688,Patient Solid Tissue,Tumor
HRS321689,Patient Solid Tissue,Tumor
HRS321690,Patient Solid Tissue,Tumor
HRS321691,Patient Solid Tissue,Tumor
HRS321692,Patient Solid Tissue,Tumor
HRS321693,Patient Solid Tissue,Tumor
HRS321694,Patient Solid Tissue,Tumor
HRS321695,Patient Solid Tissue,Tumor
HRS321696,Patient Solid Tissue,Tumor
HRS321697,Patient Solid Tissue,Tumor
HRS321698,Patient Solid Tissue,Tumor
HRS321699,Blood,Normal
HRS321700,Peritumoral,Normal
HRS321701,Patient Solid Tissue,Tumor
HRS321702,Blood,Normal
HRS321703,Peritumoral,Normal
HRS321704,Patient Solid Tissue,Tumor
HRS321705,Blood,Normal
HRS321706,Peritumoral,Normal
HRS321707,Patient Solid Tissue,Tumor
HRS321708,Peritumoral,Normal
HRS321709,Patient Solid Tissue,Tumor
HRS321710,Blood,Normal
HRS321711,Peritumoral,Normal
HRS321712,Patient Solid Tissue,Tumor
HRS321713,Blood,Normal
HRS321714,Patient Solid Tissue,Tumor
HRS321715,Patient Solid Tissue,Tumor
HRS321716,Peritumoral,Normal
HRS321717,Patient Solid Tissue,Tumor
HRS321718,Blood,Normal
HRS321719,Peritumoral,Normal
HRS321720,Patient Solid Tissue,Tumor
HRS321721,Blood,Normal
HRS321722,Peritumoral,Normal
HRS321723,Patient Solid Tissue,Tumor
HRS321724,Blood,Normal
HRS321725,Peritumoral,Normal
HRS321726,Patient Solid Tissue,Tumor
HRS321727,Blood,Normal
HRS321728,Peritumoral,Normal
HRS321729,Patient Solid Tissue,Tumor
HRS321730,Blood,Normal
HRS321731,Peritumoral,Normal
HRS321732,Peritumoral,Normal
HRS321733,Patient Solid Tissue,Tumor
HRS321734,Peritumoral,Normal
HRS321735,Patient Solid Tissue,Tumor
HRS321736,Peritumoral,Normal
HRS321737,Patient Solid Tissue,Tumor
HRS321738,Peritumoral,Normal
HRS321739,Patient Solid Tissue,Tumor
HRS321740,Peritumoral,Normal
HRS321741,Patient Solid Tissue,Tumor
HRS321742,Peritumoral,Normal
HRS321743,Patient Solid Tissue,Tumor
HRS321744,Peritumoral,Normal
HRS321745,Patient Solid Tissue,Tumor
HRS321746,Peritumoral,Normal
HRS321747,Patient Solid Tissue,Tumor
HRS321748,Peritumoral,Normal
HRS321749,Patient Solid Tissue,Tumor
HRS321750,Peritumoral,Normal
HRS321751,Patient Solid Tissue,Tumor
HRS321752,Peritumoral,Normal
HRS321753,Patient Solid Tissue,Tumor
HRS321754,Peritumoral,Normal
HRS321755,Patient Solid Tissue,Tumor
HRS321756,Peritumoral,Normal
HRS321757,Patient Solid Tissue,Tumor
HRS321758,Peritumoral,Normal
HRS321759,Patient Solid Tissue,Tumor
HRS321760,Peritumoral,Normal
HRS321761,Patient Solid Tissue,Tumor
HRS321762,Peritumoral,Normal
HRS321763,Patient Solid Tissue,Tumor
HRS321764,Peritumoral,Normal
HRS321765,Patient Solid Tissue,Tumor
HRS321766,Peritumoral,Normal
HRS321767,Patient Solid Tissue,Tumor
HRS321768,Peritumoral,Normal
HRS321769,Patient Solid Tissue,Tumor
HRS321770,Peritumoral,Normal
HRS321771,Patient Solid Tissue,Tumor
HRS321772,Peritumoral,Normal
HRS321773,Patient Solid Tissue,Tumor
HRS321774,Peritumoral,Normal
HRS321775,Patient Solid Tissue,Tumor
HRS321776,Peritumoral,Normal
HRS321777,Patient Solid Tissue,Tumor
HRS321778,Peritumoral,Normal
HRS321779,Patient Solid Tissue,Tumor
HRS321780,Peritumoral,Normal
HRS321781,Patient Solid Tissue,Tumor
HRS321782,Peritumoral,Normal
HRS321783,Patient Solid Tissue,Tumor
HRS321784,Peritumoral,Normal
HRS321785,Patient Solid Tissue,Tumor
HRS321786,Peritumoral,Normal
HRS321787,Patient Solid Tissue,Tumor
HRS321788,Peritumoral,Normal
HRS321789,Patient Solid Tissue,Tumor
HRS321790,Peritumoral,Normal
HRS321791,Patient Solid Tissue,Tumor
HRS321792,Peritumoral,Normal
HRS321793,Patient Solid Tissue,Tumor
HRS321794,Peritumoral,Normal
HRS321795,Patient Solid Tissue,Tumor
HRS321796,Peritumoral,Normal
HRS321797,Patient Solid Tissue,Tumor
HRS321798,Peritumoral,Normal
HRS321799,Patient Solid Tissue,Tumor
HRS321800,Peritumoral,Normal
HRS321801,Patient Solid Tissue,Tumor
HRS321802,Peritumoral,Normal
HRS321803,Patient Solid Tissue,Tumor
HRS321804,Peritumoral,Normal
HRS321805,Patient Solid Tissue,Tumor
HRS321806,Peritumoral,Normal
HRS321807,Patient Solid Tissue,Tumor
HRS321808,Peritumoral,Normal
HRS321809,Patient Solid Tissue,Tumor
HRS321810,Peritumoral,Normal
HRS321811,Patient Solid Tissue,Tumor
HRS321812,Peritumoral,Normal
HRS321813,Patient Solid Tissue,Tumor
HRS321814,Peritumoral,Normal
HRS321815,Patient Solid Tissue,Tumor
HRS321816,Peritumoral,Normal
HRS321817,Patient Solid Tissue,Tumor
HRS321818,Peritumoral,Normal
HRS321819,Patient Solid Tissue,Tumor
HRS321820,Peritumoral,Normal
HRS321821,Patient Solid Tissue,Tumor
HRS321822,Peritumoral,Normal
HRS321823,Patient Solid Tissue,Tumor
HRS321824,Peritumoral,Normal
HRS321825,Patient Solid Tissue,Tumor
HRS321826,Peritumoral,Normal
HRS321827,Patient Solid Tissue,Tumor
HRS321828,Peritumoral,Normal
HRS321829,Patient Solid Tissue,Tumor
HRS321830,Peritumoral,Normal
HRS321831,Patient Solid Tissue,Tumor
HRS321832,Peritumoral,Normal
HRS321833,Patient Solid Tissue,Tumor
HRS321834,Peritumoral,Normal
HRS321835,Patient Solid Tissue,Tumor
HRS321836,Peritumoral,Normal
HRS321837,Patient Solid Tissue,Tumor
HRS321838,Peritumoral,Normal
HRS321839,Patient Solid Tissue,Tumor
HRS321840,Peritumoral,Normal
HRS321841,Patient Solid Tissue,Tumor
HRS321842,Peritumoral,Normal
HRS321843,Patient Solid Tissue,Tumor
HRS321844,Peritumoral,Normal
HRS321845,Patient Solid Tissue,Tumor
HRS321846,Peritumoral,Normal
HRS321847,Patient Solid Tissue,Tumor
HRS321848,Peritumoral,Normal
HRS321849,Patient Solid Tissue,Tumor
HRS321850,Peritumoral,Normal
HRS321851,Patient Solid Tissue,Tumor
HRS321852,Peritumoral,Normal
HRS321853,Patient Solid Tissue,Tumor
HRS321854,Peritumoral,Normal
HRS321855,Patient Solid Tissue,Tumor
HRS321856,Peritumoral,Normal
HRS321857,Patient Solid Tissue,Tumor
HRS321858,Peritumoral,Normal
HRS321859,Patient Solid Tissue,Tumor
HRS321860,Peritumoral,Normal
HRS321861,Patient Solid Tissue,Tumor
HRS321862,Peritumoral,Normal
HRS321863,Patient Solid Tissue,Tumor
HRS321864,Peritumoral,Normal
HRS321865,Patient Solid Tissue,Tumor
HRS321866,Peritumoral,Normal
HRS321867,Patient Solid Tissue,Tumor
HRS321868,Peritumoral,Normal
HRS321869,Patient Solid Tissue,Tumor
HRS321870,Peritumoral,Normal
HRS321871,Patient Solid Tissue,Tumor
HRS321872,Peritumoral,Normal
HRS321873,Patient Solid Tissue,Tumor
HRS321874,Peritumoral,Normal
HRS321875,Patient Solid Tissue,Tumor
HRS321876,Peritumoral,Normal
HRS321877,Patient Solid Tissue,Tumor
HRS321878,Blood,Normal
HRS321879,Peritumoral,Normal
HRS321880,Patient Solid Tissue,Tumor
HRS321881,Blood,Normal
HRS321882,Peritumoral,Normal
HRS321883,Patient Solid Tissue,Tumor
HRS321884,Blood,Normal
HRS321885,Peritumoral,Normal
HRS321886,Patient Solid Tissue,Tumor
HRS321887,Peritumoral,Normal
HRS321888,Patient Solid Tissue,Tumor
HRS321889,Blood,Normal
HRS321890,Peritumoral,Normal
HRS321891,Patient Solid Tissue,Tumor
HRS321892,Blood,Normal
HRS321893,Peritumoral,Normal
HRS321894,Patient Solid Tissue,Tumor
HRS321895,Blood,Normal
HRS321896,Peritumoral,Normal
HRS321897,Patient Solid Tissue,Tumor
HRS321898,Blood,Normal
HRS321899,Peritumoral,Normal
HRS321900,Patient Solid Tissue,Tumor
HRS321901,Blood,Normal
HRS321902,Peritumoral,Normal
HRS321903,Patient Solid Tissue,Tumor
HRS321904,Blood,Normal
HRS321905,Peritumoral,Normal
HRS321906,Patient Solid Tissue,Tumor
HRS321907,Blood,Normal
HRS321908,Peritumoral,Normal
HRS321909,Patient Solid Tissue,Tumor
HRS420739,Bone Marrow,Tumor
HRS420740,Bone Marrow,Tumor
HRS420741,Bone Marrow,Tumor
HRS420742,Bone Marrow,Tumor
HRS420743,Bone Marrow,Tumor
HRS420744,Bone Marrow,Tumor
HRS420745,Bone Marrow,Tumor
HRS420746,Bone Marrow,Tumor
HRS420747,Bone Marrow,Tumor
HRS420748,Bone Marrow,Tumor
HRS420749,Bone Marrow,Tumor
HRS420750,Bone Marrow,Tumor
HRS420751,Bone Marrow,Tumor
HRS420752,Bone Marrow,Tumor
HRS420753,Bone Marrow,Tumor
HRS420754,Bone Marrow,Tumor
HRS420755,Bone Marrow,Tumor
HRS420756,Bone Marrow,Tumor
HRS420757,Bone Marrow,Tumor
HRS420758,Bone Marrow,Tumor
HRS420759,Bone Marrow,Tumor
HRS420760,Bone Marrow,Tumor
HRS420761,Bone Marrow,Tumor
HRS420762,Bone Marrow,Tumor
HRS420763,Bone Marrow,Tumor
HRS420764,Bone Marrow,Tumor
HRS420765,Bone Marrow,Tumor
HRS420766,Bone Marrow,Tumor
HRS420767,Bone Marrow,Tumor
HRS420768,Bone Marrow,Tumor
HRS420769,Bone Marrow,Tumor
HRS420770,Bone Marrow,Tumor
HRS420771,Bone Marrow,Tumor
HRS420772,Bone Marrow,Tumor
HRS420773,Bone Marrow,Tumor
HRS420774,Bone Marrow,Tumor
HRS420775,Bone Marrow,Tumor
HRS420776,Bone Marrow,Tumor
HRS420777,Bone Marrow,Tumor
HRS420778,Bone Marrow,Tumor
HRS420779,Bone Marrow,Tumor
HRS420780,Bone Marrow,Tumor
HRS420781,Bone Marrow,Tumor
HRS420782,Bone Marrow,Tumor
HRS420783,Bone Marrow,Tumor
HRS420784,Bone Marrow,Tumor
HRS420785,Bone Marrow,Tumor
HRS420786,Bone Marrow,Tumor
HRS420787,Bone Marrow,Tumor
HRS420788,Bone Marrow,Tumor
HRS420789,Bone Marrow,Tumor
HRS420790,Bone Marrow,Tumor
HRS420791,Bone Marrow,Tumor
HRS420792,Bone Marrow,Tumor
HRS420793,Bone Marrow,Tumor
HRS420794,Bone Marrow,Tumor
HRS420795,Bone Marrow,Tumor
HRS420796,Bone Marrow,Tumor
HRS420797,Bone Marrow,Tumor
HRS420798,Bone Marrow,Tumor
HRS420799,Bone Marrow,Tumor
HRS420800,Bone Marrow,Tumor
HRS420801,Bone Marrow,Tumor
HRS420802,Bone Marrow,Tumor
HRS420803,Bone Marrow,Tumor
HRS420804,Bone Marrow,Tumor
HRS420805,Bone Marrow,Tumor
HRS420806,Bone Marrow,Tumor
HRS420807,Bone Marrow,Tumor
HRS420808,Bone Marrow,Tumor
HRS420809,Bone Marrow,Tumor
HRS420810,Bone Marrow,Tumor
HRS420811,Bone Marrow,Tumor
HRS420812,Bone Marrow,Tumor
HRS420813,Bone Marrow,Tumor
HRS420814,Bone Marrow,Tumor
HRS420815,Bone Marrow,Tumor
HRS420816,Bone Marrow,Tumor
HRS420817,Bone Marrow,Tumor
HRS420818,Bone Marrow,Tumor
HRS420819,Bone Marrow,Tumor
HRS420820,Bone Marrow,Tumor
HRS420821,Bone Marrow,Tumor
HRS420822,Bone Marrow,Tumor
HRS420823,Bone Marrow,Tumor
HRS420824,Bone Marrow,Tumor
HRS420825,Bone Marrow,Tumor
HRS420826,Bone Marrow,Tumor
HRS420827,Bone Marrow,Tumor
HRS420828,Bone Marrow,Tumor
HRS420829,Bone Marrow,Tumor
HRS420830,Bone Marrow,Tumor
HRS420831,Bone Marrow,Tumor
HRS420832,Bone Marrow,Tumor
HRS420833,Bone Marrow,Tumor
HRS420834,Bone Marrow,Tumor
HRS420835,Bone Marrow,Tumor
HRS420836,Bone Marrow,Tumor
HRS420837,Bone Marrow,Tumor
HRS420838,Bone Marrow,Tumor
HRS420839,Bone Marrow,Tumor
HRS420840,Bone Marrow,Tumor
HRS420841,Bone Marrow,Tumor
HRS420842,Bone Marrow,Tumor
HRS420843,Bone Marrow,Tumor
HRS420844,Bone Marrow,Tumor
HRS420845,Bone Marrow,Tumor
HRS420846,Bone Marrow,Tumor
HRS420847,Bone Marrow,Tumor
HRS420848,Bone Marrow,Tumor
HRS420849,Bone Marrow,Tumor
HRS420850,Bone Marrow,Tumor
HRS420851,Bone Marrow,Tumor
HRS420852,Bone Marrow,Tumor
HRS420853,Bone Marrow,Tumor
HRS420854,Bone Marrow,Tumor
HRS420855,Bone Marrow,Tumor
HRS420856,Bone Marrow,Tumor
HRS420857,Bone Marrow,Tumor
HRS420858,Bone Marrow,Tumor
HRS420859,Bone Marrow,Tumor
HRS420860,Bone Marrow,Tumor
HRS420861,Bone Marrow,Tumor
HRS420862,Bone Marrow,Tumor
HRS420863,Bone Marrow,Tumor
HRS420864,Bone Marrow,Tumor
HRS420865,Bone Marrow,Tumor
HRS420866,Bone Marrow,Tumor
HRS420867,Bone Marrow,Tumor
HRS420868,Bone Marrow,Tumor
HRS420869,Bone Marrow,Tumor
HRS420870,Bone Marrow,Tumor
HRS420871,Bone Marrow,Tumor
HRS420872,Bone Marrow,Tumor
HRS420873,Bone Marrow,Tumor
HRS420874,Bone Marrow,Tumor
HRS420875,Bone Marrow,Tumor
HRS420876,Bone Marrow,Tumor
HRS420877,Bone Marrow,Tumor
HRS420878,Bone Marrow,Tumor
HRS420879,Bone Marrow,Tumor
HRS420880,Bone Marrow,Tumor
HRS420881,Bone Marrow,Tumor
HRS420882,Bone Marrow,Tumor
HRS420883,Bone Marrow,Tumor
HRS420884,Bone Marrow,Tumor
HRS420885,Bone Marrow,Tumor
HRS420886,Bone Marrow,Tumor
HRS420887,Bone Marrow,Tumor
HRS420888,Bone Marrow,Tumor
HRS420889,Bone Marrow,Tumor
HRS420890,Bone Marrow,Tumor
HRS420891,Bone Marrow,Tumor
HRS420892,Bone Marrow,Tumor
HRS420893,Bone Marrow,Tumor
HRS420894,Bone Marrow,Tumor
HRS420895,Bone Marrow,Tumor
HRS420896,Bone Marrow,Tumor
HRS420897,Bone Marrow,Tumor
HRS420898,Bone Marrow,Tumor
HRS420899,Bone Marrow,Tumor
HRS420900,Bone Marrow,Tumor
HRS420901,Bone Marrow,Tumor
HRS420902,Bone Marrow,Tumor
HRS420903,Bone Marrow,Tumor
HRS420904,Bone Marrow,Tumor
HRS420905,Bone Marrow,Tumor
HRS420906,Bone Marrow,Tumor
HRS420907,Bone Marrow,Tumor
HRS420908,Bone Marrow,Tumor
HRS420909,Bone Marrow,Tumor
HRS420910,Bone Marrow,Tumor
HRS420911,Bone Marrow,Tumor
HRS420912,Bone Marrow,Tumor
HRS420913,Bone Marrow,Tumor
HRS420914,Bone Marrow,Tumor
HRS420915,Bone Marrow,Tumor
HRS420916,Bone Marrow,Tumor
HRS420917,Bone Marrow,Tumor
HRS420918,Bone Marrow,Tumor
HRS420919,Bone Marrow,Tumor
HRS420920,Bone Marrow,Tumor
HRS420921,Bone Marrow,Tumor
HRS420922,Bone Marrow,Tumor
HRS420923,Bone Marrow,Tumor
HRS420924,Bone Marrow,Tumor
HRS420925,Bone Marrow,Tumor
