files,data_level
HRR025028_f1.fq.gz,1
HRR025028_r2.fq.gz,1
HRR025029_f1.fq.gz,1
HRR025029_r2.fq.gz,1
HRR025030_f1.fq.gz,1
HRR025030_r2.fq.gz,1
HRR025031_f1.fq.gz,1
HRR025031_r2.fq.gz,1
HRR025032_f1.fq.gz,1
HRR025032_r2.fq.gz,1
HRR025033_f1.fq.gz,1
HRR025033_r2.fq.gz,1
HRR025034_f1.fq.gz,1
HRR025034_r2.fq.gz,1
HRR025035_f1.fq.gz,1
HRR025035_r2.fq.gz,1
HRR025036_f1.fq.gz,1
HRR025036_r2.fq.gz,1
HRR025037_f1.fq.gz,1
HRR025037_r2.fq.gz,1
HRR025038_f1.fq.gz,1
HRR025038_r2.fq.gz,1
HRR025039_f1.fq.gz,1
HRR025039_r2.fq.gz,1
HRR025040_f1.fq.gz,1
HRR025040_r2.fq.gz,1
HRR025041_f1.fq.gz,1
HRR025041_r2.fq.gz,1
HRR025042_f1.fq.gz,1
HRR025042_r2.fq.gz,1
HRR025043_f1.fq.gz,1
HRR025043_r2.fq.gz,1
HRR025044_f1.fq.gz,1
HRR025044_r2.fq.gz,1
HRR025045_f1.fq.gz,1
HRR025045_r2.fq.gz,1
HRR025046_f1.fq.gz,1
HRR025046_r2.fq.gz,1
HRR025047_f1.fq.gz,1
HRR025047_r2.fq.gz,1
HRR025048_f1.fq.gz,1
HRR025048_r2.fq.gz,1
HRR025049_f1.fq.gz,1
HRR025049_r2.fq.gz,1
HRR025050_f1.fq.gz,1
HRR025050_r2.fq.gz,1
HRR025051_f1.fq.gz,1
HRR025051_r2.fq.gz,1
HRR025052_f1.fq.gz,1
HRR025052_r2.fq.gz,1
HRR025053_f1.fq.gz,1
HRR025053_r2.fq.gz,1
HRR025054_f1.fq.gz,1
HRR025054_r2.fq.gz,1
HRR025055_f1.fq.gz,1
HRR025055_r2.fq.gz,1
HRR025056_f1.fq.gz,1
HRR025056_r2.fq.gz,1
HRR025057_f1.fq.gz,1
HRR025057_r2.fq.gz,1
HRR025058_f1.fq.gz,1
HRR025058_r2.fq.gz,1
HRR025059_f1.fq.gz,1
HRR025059_r2.fq.gz,1
HRR025060_f1.fq.gz,1
HRR025060_r2.fq.gz,1
HRR025061_f1.fq.gz,1
HRR025061_r2.fq.gz,1
HRR025062_f1.fq.gz,1
HRR025062_r2.fq.gz,1
HRR025063_f1.fq.gz,1
HRR025063_r2.fq.gz,1
HRR025064_f1.fq.gz,1
HRR025064_r2.fq.gz,1
HRR025065_f1.fq.gz,1
HRR025065_r2.fq.gz,1
HRR025066_f1.fq.gz,1
HRR025066_r2.fq.gz,1
HRR025067_f1.fq.gz,1
HRR025067_r2.fq.gz,1
HRR025068_f1.fq.gz,1
HRR025068_r2.fq.gz,1
HRR025069_f1.fq.gz,1
HRR025069_r2.fq.gz,1
HRR025070_f1.fq.gz,1
HRR025070_r2.fq.gz,1
HRR025071_f1.fq.gz,1
HRR025071_r2.fq.gz,1
HRR025072_f1.fq.gz,1
HRR025072_r2.fq.gz,1
HRR025073_f1.fq.gz,1
HRR025073_r2.fq.gz,1
HRR025074_f1.fq.gz,1
HRR025074_r2.fq.gz,1
HRR025075_f1.fq.gz,1
HRR025075_r2.fq.gz,1
HRR025076_f1.fq.gz,1
HRR025076_r2.fq.gz,1
HRR025077_f1.fq.gz,1
HRR025077_r2.fq.gz,1
HRR025078_f1.fq.gz,1
HRR025078_r2.fq.gz,1
HRR025079_f1.fq.gz,1
HRR025079_r2.fq.gz,1
HRR025080_f1.fq.gz,1
HRR025080_r2.fq.gz,1
HRR025081_f1.fq.gz,1
HRR025081_r2.fq.gz,1
HRR025082_f1.fq.gz,1
