sample_accession,individual_accession
HRS024726,HRI024726
HRS024727,HRI024727
HRS024728,HRI024728
HRS024729,HRI024729
HRS024730,HRI024730
HRS024731,HRI024731
HRS024732,HRI024732
HRS024733,HRI024733
HRS024734,HRI024734
HRS024735,HRI024735
HRS024736,HRI024736
HRS024737,HRI024737
HRS024738,HRI024738
HRS024739,HRI024739
HRS024740,HRI024740
HRS024741,HRI024741
HRS024742,HRI024742
HRS024743,HRI024743
HRS024744,HRI024744
HRS024745,HRI024745
HRS024746,HRI024746
HRS024747,HRI024747
HRS024748,HRI024748
HRS024749,HRI024749
HRS024750,HRI024750
HRS024751,HRI024751
HRS024752,HRI024752
HRS024753,HRI024753
HRS024754,HRI024754
HRS024755,HRI024755
HRS024756,HRI024756
HRS024757,HRI024757
HRS024758,HRI024758
HRS024759,HRI024759
HRS024760,HRI024760
HRS024761,HRI024761
HRS024762,HRI024762
HRS024763,HRI024763
HRS024764,HRI024764
HRS024765,HRI024765
HRS024766,HRI024766
HRS024767,HRI024767
HRS024768,HRI024768
HRS024769,HRI024769
HRS024770,HRI024770
HRS024771,HRI024771
HRS024772,HRI024772
HRS024773,HRI024773
HRS024774,HRI024774
HRS024775,HRI024775
HRS024776,HRI024776
HRS024777,HRI024777
HRS024778,HRI024778
HRS024779,HRI024779
HRS024780,HRI024780
HRS024781,HRI024781
HRS024782,HRI024782
HRS024783,HRI024783
HRS024784,HRI024784
HRS024785,HRI024785
HRS024786,HRI024786
HRS024787,HRI024787
HRS024788,HRI024788
HRS024789,HRI024789
HRS024790,HRI024790
HRS024791,HRI024791
HRS024792,HRI024792
HRS024793,HRI024793
HRS024794,HRI024794
HRS024795,HRI024795
HRS024796,HRI024796
HRS024797,HRI024797
HRS024798,HRI024798
HRS024799,HRI024799
HRS024800,HRI024800
HRS024801,HRI024801
HRS024802,HRI024802
HRS024803,HRI024803
HRS024804,HRI024804
HRS024805,HRI024805
HRS024806,HRI024806
HRS024807,HRI024807
HRS024808,HRI024808
HRS024809,HRI024809
HRS024810,HRI024810
HRS024811,HRI024811
HRS024812,HRI024812
HRS024813,HRI024813
HRS024814,HRI024814
HRS024815,HRI024815
HRS024816,HRI024816
HRS024817,HRI024817
HRS024818,HRI024818
HRS024819,HRI024819
HRS024820,HRI024820
HRS024821,HRI024821
HRS024822,HRI024822
HRS024823,HRI024823
HRS024824,HRI024824
HRS024825,HRI024825
HRS024826,HRI024826
HRS024827,HRI024827
HRS024828,HRI024828
HRS024829,HRI024829
HRS024830,HRI024830
HRS024831,HRI024831
HRS024832,HRI024832
HRS024833,HRI024833
HRS024834,HRI024834
HRS024835,HRI024835
HRS024836,HRI024836
HRS024837,HRI024837
HRS024838,HRI024838
HRS024839,HRI024839
HRS024840,HRI024840
HRS024841,HRI024841
HRS024842,HRI024842
HRS024843,HRI024843
HRS024844,HRI024844
HRS024845,HRI024845
HRS024846,HRI024846
HRS024847,HRI024847
HRS024848,HRI024848
HRS024849,HRI024849
HRS024850,HRI024850
HRS024851,HRI024851
HRS024852,HRI024852
HRS024853,HRI024853
HRS024854,HRI024854
HRS024855,HRI024855
HRS024856,HRI024856
HRS024857,HRI024857
HRS024858,HRI024858
HRS024859,HRI024859
HRS024860,HRI024860
HRS024861,HRI024861
HRS024862,HRI024862
HRS024863,HRI024863
HRS024864,HRI024864
HRS024865,HRI024865
HRS024866,HRI024866
HRS024867,HRI024867
HRS024868,HRI024868
HRS024869,HRI024869
HRS024870,HRI024870
HRS024871,HRI024871
HRS024872,HRI024872
HRS024873,HRI024873
HRS024874,HRI024874
HRS024875,HRI024875
HRS024876,HRI024876
HRS024877,HRI024877
HRS024878,HRI024878
HRS024879,HRI024879
HRS024880,HRI024880
HRS024881,HRI024881
HRS024882,HRI024882
HRS024883,HRI024883
HRS024884,HRI024884
