files,modal
HRR068343.bam::NOT_FOUND,WES
HRR068344.bam::NOT_FOUND,WES
HRR068345.bam::NOT_FOUND,WES
HRR068346.bam::NOT_FOUND,WES
HRR068347.bam::NOT_FOUND,WES
HRR068348.bam::NOT_FOUND,WES
HRR068349.bam::NOT_FOUND,WES
HRR068350.bam::NOT_FOUND,WES
HRR068351.bam::NOT_FOUND,WES
HRR068352.bam::NOT_FOUND,WES
HRR068353.bam::NOT_FOUND,WES
HRR068354.bam::NOT_FOUND,WES
HRR068355.bam::NOT_FOUND,WES
HRR068356.bam::NOT_FOUND,WES
HRR068357.bam::NOT_FOUND,WES
HRR068358.bam::NOT_FOUND,WES
HRR068359.bam::NOT_FOUND,WES
HRR068360.bam::NOT_FOUND,WES
HRR068361.bam::NOT_FOUND,WES
HRR068362.bam::NOT_FOUND,WES
HRR067373.bam::NOT_FOUND,WES
HRR067374.bam::NOT_FOUND,WES
HRR067375.bam::NOT_FOUND,WES
HRR067376.bam::NOT_FOUND,WES
HRR067377.bam::NOT_FOUND,WES
HRR067378.bam::NOT_FOUND,WES
HRR067379.bam::NOT_FOUND,WES
HRR067380.bam::NOT_FOUND,WES
HRR067381.bam::NOT_FOUND,WES
HRR067382.bam::NOT_FOUND,WES
HRR067383.bam::NOT_FOUND,WES
HRR067384.bam::NOT_FOUND,WES
HRR067385.bam::NOT_FOUND,WES
HRR067386.bam::NOT_FOUND,WES
HRR067387.bam::NOT_FOUND,WES
HRR067388.bam::NOT_FOUND,WES
HRR067389.bam::NOT_FOUND,WES
HRR067390.bam::NOT_FOUND,WES
HRR067391.bam::NOT_FOUND,WES
HRR067392.bam::NOT_FOUND,WES
HRR067393.bam::NOT_FOUND,WES
HRR067394.bam::NOT_FOUND,WES
HRR067395.bam::NOT_FOUND,WES
HRR067396.bam::NOT_FOUND,WES
HRR067397.bam::NOT_FOUND,WES
HRR067398.bam::NOT_FOUND,WES
HRR067399.bam::NOT_FOUND,WES
HRR067400.bam::NOT_FOUND,WES
HRR067401.bam::NOT_FOUND,WES
HRR067402.bam::NOT_FOUND,WES
HRR067403.bam::NOT_FOUND,WES
HRR067404.bam::NOT_FOUND,WES
HRR067405.bam::NOT_FOUND,WES
HRR067406.bam::NOT_FOUND,WES
HRR067407.bam::NOT_FOUND,WES
HRR067408.bam::NOT_FOUND,WES
HRR067409.bam::NOT_FOUND,WES
HRR067410.bam::NOT_FOUND,WES
HRR067411.bam::NOT_FOUND,WES
HRR067412.bam::NOT_FOUND,WES
HRR067413.bam::NOT_FOUND,WES
HRR067414.bam::NOT_FOUND,WES
HRR067415.bam::NOT_FOUND,WES
HRR067416.bam::NOT_FOUND,WES
HRR067417.bam::NOT_FOUND,WES
HRR067418.bam::NOT_FOUND,WES
HRR067419.bam::NOT_FOUND,WES
HRR067420.bam::NOT_FOUND,WES
HRR067421.bam::NOT_FOUND,WES
HRR067422.bam::NOT_FOUND,WES
HRR067423.bam::NOT_FOUND,WES
HRR067424.bam::NOT_FOUND,WES
HRR067425.bam::NOT_FOUND,WES
HRR067426.bam::NOT_FOUND,WES
HRR067427.bam::NOT_FOUND,WES
HRR067428.bam::NOT_FOUND,WES
HRR067429.bam::NOT_FOUND,WES
HRR067431.bam::NOT_FOUND,WES
HRR067432.bam::NOT_FOUND,WES
HRR067433.bam::NOT_FOUND,WES
HRR067434.bam::NOT_FOUND,WES
HRR067435.bam::NOT_FOUND,WES
HRR067436.bam::NOT_FOUND,WES
HRR067437.bam::NOT_FOUND,WES
HRR067438.bam::NOT_FOUND,WES
HRR067439.bam::NOT_FOUND,WES
HRR067440.bam::NOT_FOUND,WES
HRR067441.bam::NOT_FOUND,WES
HRR067442.bam::NOT_FOUND,WES
HRR067443.bam::NOT_FOUND,WES
HRR067444.bam::NOT_FOUND,WES
HRR067445.bam::NOT_FOUND,WES
HRR067446.bam::NOT_FOUND,WES
HRR067447.bam::NOT_FOUND,WES
HRR067448.bam::NOT_FOUND,WES
HRR067449.bam::NOT_FOUND,WES
HRR067450.bam::NOT_FOUND,WES
HRR067451.bam::NOT_FOUND,WES
HRR067452.bam::NOT_FOUND,WES
HRR067453.bam::NOT_FOUND,WES
HRR067454.bam::NOT_FOUND,WES
HRR067455.bam::NOT_FOUND,WES
HRR067456.bam::NOT_FOUND,WES
HRR067457.bam::NOT_FOUND,WES
HRR067458.bam::NOT_FOUND,WES
HRR067459.bam::NOT_FOUND,WES
HRR067461.bam::NOT_FOUND,WES
HRR067462.bam::NOT_FOUND,WES
HRR067463.bam::NOT_FOUND,WES
HRR067464.bam::NOT_FOUND,WES
HRR067465.bam::NOT_FOUND,WES
HRR067466.bam::NOT_FOUND,WES
HRR067467.bam::NOT_FOUND,WES
HRR067468.bam::NOT_FOUND,WES
HRR067469.bam::NOT_FOUND,WES
HRR067470.bam::NOT_FOUND,WES
HRR067471.bam::NOT_FOUND,WES
HRR067472.bam::NOT_FOUND,WES
HRR067473.bam::NOT_FOUND,WES
HRR067474.bam::NOT_FOUND,WES
HRR067475.bam::NOT_FOUND,WES
HRR067476.bam::NOT_FOUND,WES
HRR067477.bam::NOT_FOUND,WES
HRR067478.bam::NOT_FOUND,WES
HRR067479.bam::NOT_FOUND,WES
HRR067480.bam::NOT_FOUND,WES
HRR067481.bam::NOT_FOUND,WES
HRR067482.bam::NOT_FOUND,WES
HRR067483.bam::NOT_FOUND,WES
HRR067484.bam::NOT_FOUND,WES
HRR067485.bam::NOT_FOUND,WES
HRR067486.bam::NOT_FOUND,WES
HRR067487.bam::NOT_FOUND,WES
