t2_id,study_accession
HRR068043.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068043.BQSR.bam,HRA000021
HRR068044.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068044.BQSR.bam,HRA000021
HRR068045.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068045.BQSR.bam,HRA000021
HRR068046.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068046.BQSR.bam,HRA000021
HRR068047.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068047.BQSR.bam,HRA000021
HRR068048.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068048.BQSR.bam,HRA000021
HRR068049.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068049.BQSR.bam,HRA000021
HRR068050.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068050.BQSR.bam,HRA000021
HRR068051.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068051.BQSR.bam,HRA000021
HRR068052.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068052.BQSR.bam,HRA000021
HRR068053.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068053.BQSR.bam,HRA000021
HRR068054.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068054.BQSR.bam,HRA000021
HRR068055.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068055.BQSR.bam,HRA000021
HRR068056.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR068056.BQSR.bam,HRA000021
